Manufacture,Model,Software_Version,Release_Date,Method,Description,filename,Android_Level_Guessed,Bulletin_Level,difference
Motorola,Nexus 6,MMB29K,2015-12-07,nan,"google december security patch #16remove ""dialing"" after an outgoing call is connectedremove on-going call notice after a new incoming call is accepted",output22.txt,True,2015-12-01,6
Motorola,Nexus 6,MMB29S,2016-01-11,nan,january google security patch #17,output28.txt,True,2016-01-01,10
Motorola,Nexus 6,MMB29Q,2016-02-01,nan,february 2016 android security patch,output36.txt,False,2016-02-01,0
Motorola,Nexus 6,MMB29V,2016-03-14,nan,march 2016 android security update,output43.txt,False,2016-03-01,13
Motorola,Nexus 6,MOB30D,2016-04-11,nan,"party security bulletin - march, 2016",output55.txt,True,2016-04-01,10
Motorola,Z2 Force,OCXS27.109-48-15,2019-02-15,Available Over the Air,android security patch level january 2019,output395.txt,False,2019-01-01,45
Motorola,Z2 Force,OCXS27.109-48-17,2019-04-21,Available Over the Air,android security patch level march 2019,output466.txt,False,2019-03-01,51
Motorola,Z3 Play,OCWS28.70-61-4,2019-01-22,Available OTA,android security patch level january 2019,output347.txt,False,2019-01-01,21
Motorola,Z3 Play,OCWS28.70-61-7,2019-05-19,Available Over the Air,android security patch level march 2019,output467.txt,False,2019-03-01,79
OnePlus,7 Pro 5G,9.5.14.GM25CC,2019-10-25,Available OTA,android september and october security update,output483.txt,True,2019-10-01,24
Pointing out that this OS update is specific to the S7 Special Edition only. Samsung,GS7 Special Edition,G930UUES4AQC1,2017-03-26,Available Over the Air,march 2017 android security patches. nothing additional noted on this except the march security patch.,output152.txt,True,2017-03-01,25
Pointing out that this OS update is specific to the Special Edition S7 Edge. Samsung,GS7 Edge Special Edition,G935UUES4AQC1,2017-03-26,Available Over the Air,march 2017 security patches. i am not seeing anything mentioned about bug fixes so at this point it might or might not contain more than just the march security update.,output151.txt,True,2017-03-01,25
Samsung,Galaxy A10e,A102USQU1ASI1,2019-09-23,Available Over the Air,general bug fixes july - august security patch update.,output491.txt,True,2019-08-01,53
Samsung,Galaxy A50,A505USQU2ASI6,2019-10-21,Available Over the Air,maintenance release includes android security update and performance improvements.,output490.txt,True,2019-10-01,20
Samsung,Galaxy A6,A600PVPU1ARI1,2018-10-17,Available OTA + OEM Tool,september and october security patch,output307.txt,True,2018-10-01,16
Samsung,Galaxy A6,A600PVPU2ARL5,2019-01-28,Available OTA,android security patch level november/december 2018 and general bug fixes.,output349.txt,False,2018-12-01,58
Samsung,Galaxy A6,A600PVPU2BSC8,2019-04-15,Available OTA,update to android pie android security patch level through april 2019 bug fixes,output422.txt,False,2019-04-01,14
Samsung,Galaxy Grand Prime,G530PVPUIAPC4,2016-03-21,nan,"quarterly android security patch release: november, december, january",output44.txt,True,2016-03-01,20
Samsung,Galaxy Grand Prime,G530PVPS1APF1,2016-07-13,nan,google security patchstability improvements,output103.txt,True,2016-07-01,12
Samsung,Galaxy J3,J320PVPU1APE1,2016-06-09,nan,samsung j3 mr1 for bug fixes and security patch updates.,output88.txt,True,2016-06-01,8
Samsung,Galaxy J3,J320PVPS1AQG3,2017-08-02,Available OTA + OEM Tool,"android security patches may - july 2017  seawolf sprint community manager & customer advocate captain of the vicious cream-puff i encourage you to post your questions on the community, give kudos when earned and always mark the correct answer as ""accepted solution"".",output193.txt,False,2017-07-01,32
Samsung,Galaxy J3,J320PVPS1ARA1,2018-01-26,Available OTA + OEM Tool,"quarterly security mr - august to january 1st patch level. including spectre & meltdown patches.  seawolf sprint community manager & customer advocate captain of the vicious cream-puff i encourage you to post your questions on the community, give kudos when earned and always mark the correct answer as ""accepted solution"".",output236.txt,True,2018-01-01,25
Samsung,Galaxy J3 Achieve,J337PVPU2ARJ2,2018-10-26,Available Over the Air + OEM Tool,google security patches,output315.txt,True,2018-10-01,25
Samsung,Galaxy J3 Achieve,J337PVPS2ASA1,2019-01-18,Available Over the Air + OEM Tool,november - january security patch update.,output346.txt,True,2019-01-01,17
Samsung,Galaxy J3 Achieve,J337PVPS3ASC2,2019-04-12,Available OTA + OEM Tool,february - april security patch updates,output402.txt,True,2019-04-01,11
Samsung,Galaxy J3 Emerge,J327PVPU2AQI2,2017-10-02,Available OTA + OEM Tool,"android security patches (july-sept) & bug fixes  seawolf sprint community manager & customer advocate captain of the vicious cream-puff i encourage you to post your questions on the community, give kudos when earned and always mark the correct answer as ""accepted solution"".",output205.txt,True,2017-10-01,1
Samsung,Galaxy J3 Emerge,J727PVPU3ARC2,2018-03-28,Available OTA + OEM Tool,"feb 1st, spectre/meltdown patches  seawolf sprint community manager & customer advocate captain of the vicious cream-puff i encourage you to post your questions on the community, give kudos when earned and always mark the correct answer as ""accepted solution"".",output244.txt,True,2018-02-01,55
Samsung,Galaxy J3 Emerge,J327PVPS3ARC1,2018-04-11,Available OTA + OEM Tool,january - march google security patch update.,output247.txt,True,2018-03-01,41
Samsung,Galaxy J3 Emerge,J327PVPS4ARF2,2018-06-27,Available Over the Air + OEM Tool,"april to june 1, 2018, security patches and other bug fixes the security of your device has been improved. a software update can include, but is not limited to: device stability improvements, bug fixes new and/or enhanced features further improvements to performance to get the best from your device, please keep your device up to date and regularly check for software updates.",output273.txt,True,2018-06-01,26
