CVE,Type,Severity,Updated_AOSP_versions,CVE_Classification,bulletin,Updated_Devices
CVE-2017-0871,EoP,High,8.0,Framework,2017-12-01.txt,
CVE-2017-0872,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-0876,RCE,Critical,6.0,Media framework,2017-12-01.txt,
CVE-2017-0877,RCE,Critical,6.0,Media framework,2017-12-01.txt,
CVE-2017-0878,RCE,Critical,8.0,Media framework,2017-12-01.txt,
CVE-2017-13151,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-13153,EoP,High,8.0,Media framework,2017-12-01.txt,
CVE-2017-0837,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-0873,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-0874,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-0880,DoS,High,"7.0, 7.1.1, 7.1.2",Media framework,2017-12-01.txt,
CVE-2017-13148,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-12-01.txt,
CVE-2017-13160,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0",System,2017-12-01.txt,
CVE-2017-13156,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-12-01.txt,
CVE-2017-13157,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-12-01.txt,
CVE-2017-13158,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-12-01.txt,
CVE-2017-13159,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-12-01.txt,
CVE-2020-0001,EoP,Moderate,10,Framework,2020-01-01.txt,
CVE-2020-0001,EoP,High,"8.0, 8.1, 9",Framework,2020-01-01.txt,
CVE-2020-0003,EoP,High,8.0,Framework,2020-01-01.txt,
CVE-2020-0004,DoS,High,"8.0, 8.1, 9, 10",Framework,2020-01-01.txt,
CVE-2020-0002,RCE,Moderate,10,Media framework,2020-01-01.txt,
CVE-2020-0002,RCE,Critical,"8.0, 8.1, 9",Media framework,2020-01-01.txt,
CVE-2020-0006,ID,High,"8.0, 8.1, 9, 10",System,2020-01-01.txt,
CVE-2020-0007,ID,High,"8.0, 8.1, 9, 10",System,2020-01-01.txt,
CVE-2020-0008,ID,High,"8.0, 8.1, 9, 10",System,2020-01-01.txt,
CVE-2019-2104,ID,High,"8.0, 8.1, 9",Framework,2019-07-01.txt,
CVE-2019-2105,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Library,2019-07-01.txt,
CVE-2019-2106,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-07-01.txt,
CVE-2019-2107,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-07-01.txt,
CVE-2019-2109,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2019-07-01.txt,
CVE-2019-2111,RCE,Critical,9,System,2019-07-01.txt,
CVE-2019-2112,EoP,High,"8.0, 8.1, 9",System,2019-07-01.txt,
CVE-2019-2113,EoP,High,9,System,2019-07-01.txt,
CVE-2019-2116,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-07-01.txt,
CVE-2019-2117,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-07-01.txt,
CVE-2019-2118,ID,High,"8.0, 8.1, 9",System,2019-07-01.txt,
CVE-2019-2119,ID,High,"8.0, 8.1, 9",System,2019-07-01.txt,
CVE-2016-2465,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Video Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P"
CVE-2016-2466,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Sound Driver,2016-06-01.txt,MODEL:Nexus 6
CVE-2016-2467,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Sound Driver,2016-06-01.txt,MODEL:Nexus 5
CVE-2016-2468,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm GPU Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P, Nexus 7"
CVE-2016-2062,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm GPU Driver,2016-06-01.txt,"MODEL:Nexus 5X, Nexus 6P"
CVE-2016-2474,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 5X
CVE-2016-2475,N/A,High,N/A,Elevation of Privilege Vulnerability in Broadcom Wi-Fi Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 6, Nexus 6P, Nexus 7 (2013), Nexus 9, Nexus Player, Pixel C"
CVE-2016-2066,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Sound Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P"
CVE-2016-2469,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Sound Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 6, Nexus 6P"
CVE-2016-2061,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Camera Driver,2016-06-01.txt,"MODEL:Nexus 5X, Nexus 6P"
CVE-2016-2488,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Camera Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P, Nexus 7 (2013)"
CVE-2016-2489,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Video Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P"
CVE-2016-2490,N/A,High,N/A,Elevation of Privilege Vulnerability in NVIDIA Camera Driver,2016-06-01.txt,MODEL:Nexus 9
CVE-2016-2491,N/A,High,N/A,Elevation of Privilege Vulnerability in NVIDIA Camera Driver,2016-06-01.txt,MODEL:Nexus 9
CVE-2016-2470,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 7 (2013)
CVE-2016-2471,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 7 (2013)
CVE-2016-2472,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 7 (2013)
CVE-2016-2473,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 7 (2013)
CVE-2016-2492,N/A,High,N/A,Elevation of Privilege Vulnerability in MediaTek Power Management Driver,2016-06-01.txt,MODEL:Android One
CVE-2016-2493,N/A,High,N/A,Elevation of Privilege Vulnerability in Broadcom Wi-Fi Driver,2016-06-01.txt,"MODEL:Nexus 5, Nexus 6, Nexus 6P, Nexus 7 (2013), Nexus Player, Pixel C"
CVE-2016-2498,N/A,Moderate,N/A,Information Disclosure Vulnerability in Qualcomm Wi-Fi Driver,2016-06-01.txt,MODEL:Nexus 7 (2013)
CVE-2019-2043,EoP,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",Framework,2019-05-01.txt,
CVE-2019-2044,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",Media framework,2019-05-01.txt,
CVE-2019-2045,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2046,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2047,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2049,EoP,High,9 ,System,2019-05-01.txt,
CVE-2019-2050,EoP,High,"8.0, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2051,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2052,ID,High,"7.0, 7.1.1, 7.1.2, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2053,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9 ",System,2019-05-01.txt,
CVE-2019-2123,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-09-01.txt,
CVE-2019-2174,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-09-01.txt,
CVE-2019-2175,EoP,High,9,Framework,2019-09-01.txt,
CVE-2019-9254,EoP,High,10,Framework,2019-09-01.txt,
CVE-2019-2103,ID,High,9,Framework,2019-09-01.txt,
CVE-2019-2176,RCE,Critical,"8.0, 8.1, 9",Media framework,2019-09-01.txt,
CVE-2019-2108,RCE,Critical,10,Media framework,2019-09-01.txt,
CVE-2019-2177,RCE,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2019-2115,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2019-2178,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2019-2179,ID,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2019-2180,ID,High,"8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2019-2124,ID,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-09-01.txt,
CVE-2015-6608,N/A,Critical,"5.0, 5.1, 6.0",Remote Code Execution Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6608,N/A,Critical,"4.4, 5.0, 5.1, 6.0",Remote Code Execution Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6608,N/A,Critical,4.4 and 5.1,Remote Code Execution Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6608,N/A,Critical,"5.0, 5.1, 6.0",Remote Code Execution Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6609,N/A,Critical,6.0 and below,Remote Code Execution Vulnerability in libutils,2015-11-01.txt,
CVE-2015-6611,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,5.1 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6611,N/A,High,5.1 and below,Information Disclosure Vulnerabilities in Mediaserver,2015-11-01.txt,
CVE-2015-6610,N/A,High,6.0 and below,Elevation of Privilege Vulnerability in libstagefright,2015-11-01.txt,
CVE-2015-6612,N/A,High,6.0 and below,Elevation of Privilege Vulnerability in libmedia,2015-11-01.txt,
CVE-2015-6613,N/A,High,6.0,Elevation of Privilege Vulnerability in Bluetooth,2015-11-01.txt,
CVE-2015-6614,N/A,Moderate,"5.0, 5.1",Elevation Of Privilege Vulnerability in Telephony,2015-11-01.txt,
CVE-2014-6060,N/A,Critical,4.4.4,Remote Code Execution Vulnerability in DHCPCD,2016-04-02.txt,
CVE-2014-6060,N/A,Critical,4.4.4,Remote Code Execution Vulnerability in DHCPCD,2016-04-02.txt,
CVE-2016-1503,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in DHCPCD,2016-04-02.txt,
CVE-2016-0834,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in Media Codec,2016-04-02.txt,
CVE-2016-0835,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0836,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0837,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0838,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0839,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0840,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0841,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-0842,N/A,Critical,"6.0, 6.0.1",Remote Code Execution Vulnerability in libstagefright,2016-04-02.txt,
CVE-2015-1805,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Kernel,2016-04-02.txt,
CVE-2016-0843,N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Qualcomm Performance Module,2016-04-02.txt,
CVE-2016-0844,N/A,Critical,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Qualcomm RF component,2016-04-02.txt,
CVE-2014-9322,N/A,Critical,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Kernel,2016-04-02.txt,
CVE-2016-0846,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in IMemory Native Interface,2016-04-02.txt,
CVE-2016-0847,N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Telecom Component,2016-04-02.txt,
CVE-2016-0848,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Download Manager,2016-04-02.txt,
CVE-2016-0849,N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Recovery Procedure,2016-04-02.txt,
CVE-2016-0850,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Bluetooth,2016-04-02.txt,
CVE-2016-2409,N/A,High,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Texas Instruments Haptic Driver,2016-04-02.txt,
CVE-2016-2410,N/A,High,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Qualcomm Video Kernel Driver,2016-04-02.txt,
CVE-2016-2411,N/A,High,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Qualcomm Power Management component,2016-04-02.txt,
CVE-2016-2412,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in System_server,2016-04-02.txt,
CVE-2016-2413,N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-2414,N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Denial of Service Vulnerability in Minikin,2016-04-02.txt,
CVE-2016-2415,N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Information Disclosure Vulnerability in Exchange ActiveSync,2016-04-02.txt,
CVE-2016-2416,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Information Disclosure Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-2417,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Information Disclosure Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-2418,N/A,High,"6.0, 6.0.1",Information Disclosure Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-2419,N/A,High,"6.0, 6.0.1",Information Disclosure Vulnerability in Mediaserver,2016-04-02.txt,
CVE-2016-2420,N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Debuggerd Component,2016-04-02.txt,
CVE-2016-2421,N/A,Moderate,"5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Setup Wizard,2016-04-02.txt,
CVE-2016-2422,N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Wi-Fi,2016-04-02.txt,
CVE-2016-2423,N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Telephony,2016-04-02.txt,
CVE-2016-2424,N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Denial of Service Vulnerability in SyncStorageEngine,2016-04-02.txt,
CVE-2016-2425,N/A,Moderate,"4.4.4, 5.1.1, 6.0, 6.0.1",Information Disclosure Vulnerability in AOSP Mail,2016-04-02.txt,
CVE-2016-2425,N/A,Moderate,N/A,Information Disclosure Vulnerability in AOSP Mail,2016-04-02.txt,
CVE-2016-2426,N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Information Disclosure Vulnerability in Framework,2016-04-02.txt,
CVE-2018-9522,EoP,High,9,Framework,2018-11-01.txt,
CVE-2018-9524,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Framework,2018-11-01.txt,
CVE-2018-9525,EoP,High,9,Framework,2018-11-01.txt,
CVE-2018-9527,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-11-01.txt,
CVE-2018-9531,RCE,Critical,9,Media framework,2018-11-01.txt,
CVE-2018-9536,EoP,Critical,9,Media framework,2018-11-01.txt,
CVE-2018-9537,EoP,Critical,9,Media framework,2018-11-01.txt,
CVE-2018-9521,RCE,High,9,Media framework,2018-11-01.txt,
CVE-2018-9539,EoP,High,"8.0, 8.1, 9",Media framework,2018-11-01.txt,
CVE-2018-9540,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-11-01.txt,
CVE-2018-9542,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-11-01.txt,
CVE-2018-9543,ID,High,9,System,2018-11-01.txt,
CVE-2018-9544,ID,High,9,System,2018-11-01.txt,
CVE-2018-9545,ID,High,9,System,2018-11-01.txt,
CVE-2018-9541,ID,Moderate,9,System,2018-11-01.txt,
CVE-2018-9541,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-11-01.txt,
CVE-2017-0806,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Framework,2017-10-01.txt,
CVE-2017-0809,RCE,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-0810,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-0811,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-0812,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-0815,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-0816,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-10-01.txt,
CVE-2017-14496,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-10-01.txt,
CVE-2017-13248,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13249,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13250,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13251,EoP,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13252,EoP,High,"8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13253,EoP,High,"8.0, 8.1",Media framework,2018-03-01.txt,
CVE-2017-13255,RCE,Critical,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13256,RCE,Critical,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13272,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13266,RCE,Critical,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13257,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13258,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13259,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13260,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13261,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2017-13262,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-03-01.txt,
CVE-2018-9582,EoP,High,"8.0, 8.1, 9",Framework,2019-01-01.txt,
CVE-2018-9583,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9584,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9585,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9586,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9587,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9588,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9589,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9590,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9591,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9592,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9593,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9594,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-01-01.txt,
CVE-2018-9433,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2018-07-01.txt,
CVE-2018-9410,ID,High,"8.0, 8.1",Framework,2018-07-01.txt,
CVE-2018-9411,RCE,Critical,"8.0, 8.1",Media framework,2018-07-01.txt,
CVE-2018-9424,EoP,High,"8.0, 8.1",Media framework,2018-07-01.txt,
CVE-2018-9428,EoP,High,8.1,Media framework,2018-07-01.txt,
